Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Toyota,Prius,1.0,Hybrid,2007,174374,5273
Toyota,RAV4,2.0,Hybrid,2000,201150,4358
VW,Passat,1.8,Diesel,2007,116964,9938
Toyota,Yaris,1.2,Hybrid,2014,19626,21478
Toyota,Prius,1.0,Hybrid,2016,54508,23695
Porsche,718 Cayman,2.0,Petrol,1997,139400,5478
Toyota,RAV4,2.4,Petrol,1999,229164,2896
VW,Polo,2.0,Petrol,2014,30481,19268
Ford,Fiesta,1.2,Petrol,2004,112874,4299
BMW,Z4,2.2,Petrol,2007,133258,9719
Toyota,Yaris,1.0,Hybrid,1993,162881,1757
Ford,Focus,1.4,Petrol,2011,110423,10939
Toyota,Yaris,1.2,Petrol,1997,205741,1447
VW,Golf,2.0,Diesel,2008,149242,6961
Ford,Focus,1.4,Petrol,2017,28967,28062
Porsche,911,3.0,Petrol,1996,143278,10732
Ford,Focus,1.8,Diesel,1992,155065,2579
VW,Golf,1.8,Petrol,1994,161828,2229
VW,Polo,1.0,Petrol,2008,123093,4864
Ford,Fiesta,1.2,Petrol,2016,56083,14227
Toyota,RAV4,2.0,Hybrid,1988,180534,2343
Ford,Mondeo,1.6,Diesel,2010,48789,17392
Ford,Fiesta,1.2,Petrol,1994,96262,2496
Ford,Fiesta,1.0,Petrol,2011,69279,8539
Ford,Fiesta,1.0,Petrol,2013,91181,8388
Toyota,Yaris,1.4,Petrol,2013,25267,17527
BMW,M5,4.4,Petrol,1996,188810,7497
Ford,Focus,1.6,Petrol,2006,100628,9010
Toyota,Prius,1.8,Hybrid,2018,19251,44740
VW,Passat,2.0,Diesel,2010,84987,16172
Ford,Fiesta,1.2,Petrol,2012,91749,8561
Ford,Focus,1.6,Petrol,1996,131625,3653
VW,Golf,1.2,Diesel,1992,127081,2215
Toyota,Prius,1.8,Hybrid,1993,164207,3031
Ford,Fiesta,1.0,Petrol,2012,76573,8689
Toyota,RAV4,1.8,Hybrid,2015,44489,37201
VW,Golf,2.0,Petrol,2007,75629,10793
VW,Polo,1.2,Petrol,2008,61281,8284
Ford,Fiesta,1.4,Petrol,1991,145801,1507
Ford,Focus,1.0,Petrol,2007,59342,10121
VW,Golf,1.8,Petrol,2018,26479,28977
BMW,X3,2.4,Diesel,2003,111470,10143
Ford,Mondeo,1.6,Hybrid,2018,21913,39675
VW,Golf,1.8,Petrol,2014,63259,17733
Toyota,Yaris,1.4,Hybrid,1989,247113,756
BMW,M5,4.4,Petrol,2019,22319,117441
VW,Passat,1.8,Diesel,2008,92709,12712
Ford,Mondeo,1.4,Diesel,2005,152304,5485
Toyota,Prius,1.4,Hybrid,2005,149848,6701
Toyota,Yaris,1.4,Petrol,2003,131933,4341
Porsche,911,2.2,Petrol,2016,33681,75392
VW,Golf,1.8,Hybrid,2007,75786,12274
BMW,X3,3.0,Diesel,1987,185456,2138
VW,Passat,1.8,Diesel,2004,71425,11287
Porsche,911,3.5,Petrol,2005,110347,27310
Toyota,RAV4,2.0,Hybrid,1998,159059,5472
Ford,Fiesta,1.4,Petrol,1997,127330,2606
VW,Golf,1.8,Diesel,2000,175853,3102
BMW,X3,2.0,Diesel,2019,29573,46470
Toyota,Prius,1.0,Hybrid,1988,301316,467
Toyota,RAV4,2.0,Hybrid,2017,58239,41113
BMW,X3,3.0,Diesel,2015,27962,43995
VW,Golf,2.0,Petrol,2009,122592,8760
Toyota,RAV4,1.8,Hybrid,2008,63181,20731
VW,Golf,1.6,Hybrid,2002,125879,5747
BMW,Z4,3.0,Petrol,2006,81336,15625
VW,Passat,1.4,Diesel,1994,197635,1892
Ford,Mondeo,2.0,Diesel,2002,83580,9069
VW,Passat,1.4,Diesel,2009,130295,9031
Toyota,RAV4,1.8,Hybrid,1997,156763,4950
Toyota,Yaris,1.4,Hybrid,2009,56228,13377
Ford,Mondeo,2.0,Diesel,2007,221849,4105
Ford,Fiesta,1.0,Petrol,2017,51622,14279
VW,Polo,1.0,Petrol,2011,44597,10259
VW,Golf,1.8,Petrol,2017,35478,25737
VW,Polo,1.0,Petrol,2015,48959,13040
Ford,Mondeo,1.8,Diesel,2009,70754,14977
Porsche,Cayenne,3.5,Petrol,2015,54929,52468
Toyota,Prius,1.8,Hybrid,2011,75460,19850
Toyota,Yaris,1.2,Hybrid,1991,254620,746
Toyota,RAV4,2.0,Petrol,2001,100705,8802
VW,Passat,1.4,Diesel,2011,90765,13885
VW,Passat,2.0,Diesel,2017,43333,33874
VW,Polo,2.0,Petrol,2000,42942,7039
Toyota,Yaris,1.0,Petrol,2004,70117,6165
Toyota,Yaris,1.0,Hybrid,2002,142066,3799
Ford,Fiesta,1.2,Petrol,2001,104081,3759
Porsche,911,2.6,Petrol,2004,158481,15038
Toyota,RAV4,1.8,Hybrid,2011,96750,20089
Ford,Focus,1.4,Petrol,2005,92660,8353
Porsche,Cayenne,3.0,Petrol,2000,151420,8803
BMW,Z4,2.0,Petrol,1999,155053,4558
VW,Golf,1.8,Petrol,1994,192087,1721
VW,Golf,1.8,Petrol,1993,147656,2343
Toyota,Yaris,1.0,Petrol,2007,65660,7756
Porsche,718 Cayman,2.0,Petrol,2007,136747,10900
Toyota,RAV4,2.2,Hybrid,2010,80638,23288
BMW,X3,2.0,Diesel,1999,119256,6684
VW,Golf,1.4,Diesel,1998,117687,3838
Toyota,Prius,1.8,Hybrid,2003,112871,8899
BMW,M5,5.0,Petrol,1992,231407,4189
VW,Polo,2.0,Petrol,2008,87604,8947
VW,Polo,1.6,Petrol,2001,70754,5635
VW,Passat,2.0,Diesel,1992,152804,2899
VW,Polo,1.0,Diesel,2011,68134,9272
Ford,Focus,2.0,Diesel,1990,219904,1357
VW,Polo,1.0,Petrol,2003,77923,4849
VW,Golf,1.6,Petrol,1989,234742,794
VW,Golf,1.2,Diesel,2007,76877,8704
Ford,Mondeo,1.6,Diesel,2015,47409,24480
Toyota,Yaris,1.4,Hybrid,2019,18085,32651
VW,Golf,1.4,Petrol,1999,132961,3469
Ford,Focus,1.4,Diesel,2013,32357,22131
VW,Polo,1.4,Petrol,2003,137170,3691
Porsche,718 Cayman,2.4,Petrol,2017,47014,44054
Toyota,RAV4,2.2,Hybrid,2005,99437,14599
BMW,X3,2.0,Diesel,2009,56175,20309
VW,Passat,1.4,Diesel,2011,57017,17445
VW,Passat,1.4,Petrol,2007,89859,10194
Ford,Mondeo,1.8,Diesel,2007,121647,9074
Ford,Mondeo,1.8,Diesel,2014,53000,23459
Toyota,Yaris,1.0,Petrol,2008,113710,5896
BMW,M5,5.0,Petrol,1998,53645,25633
Ford,Fiesta,1.0,Petrol,2018,33331,17049
Ford,Focus,1.6,Petrol,2001,177682,3489
Ford,Mondeo,2.0,Hybrid,2014,55196,27871
Ford,Fiesta,1.2,Petrol,2006,101268,5356
Ford,Fiesta,1.0,Petrol,1998,250937,809
Ford,Focus,1.8,Diesel,2003,164699,4957
Toyota,Yaris,1.2,Hybrid,1984,183547,886
Ford,Mondeo,1.4,Diesel,2012,51901,18232
Ford,Mondeo,2.0,Diesel,1988,186368,1583
Ford,Mondeo,1.4,Diesel,2000,162705,3606
VW,Golf,1.8,Petrol,2002,159277,3881
Porsche,718 Cayman,2.4,Petrol,1993,115028,5560
Toyota,RAV4,2.2,Hybrid,2014,50566,37060
Toyota,RAV4,2.4,Hybrid,1989,209073,2137
BMW,X3,2.4,Diesel,1993,187936,2792
Ford,Focus,1.0,Diesel,1993,183182,1621
BMW,Z4,3.0,Petrol,2001,149596,6670
Ford,Focus,1.4,Petrol,2001,120282,5210
BMW,M5,4.0,Petrol,1997,131948,12258
Toyota,RAV4,1.8,Hybrid,2013,80517,25751
BMW,Z4,3.0,Petrol,1990,232575,1558
Ford,Fiesta,1.0,Petrol,2010,40304,9597
Toyota,Yaris,1.4,Petrol,2001,100957,4811
Ford,Focus,1.8,Hybrid,1990,177356,2139
BMW,M5,5.0,Petrol,2012,40682,70600
VW,Passat,2.0,Diesel,2002,54864,11601
VW,Polo,2.0,Petrol,2015,5821,23560
Porsche,Cayenne,3.5,Petrol,2011,54382,40326
VW,Passat,1.6,Petrol,1996,184657,2465
BMW,Z4,2.4,Petrol,1993,166520,3042
Ford,Fiesta,1.4,Petrol,1992,119013,1991
VW,Polo,1.6,Petrol,1995,188161,1512
Ford,Fiesta,1.0,Petrol,1996,143015,1819
Ford,Mondeo,1.6,Petrol,2008,129629,8185
Ford,Fiesta,1.2,Petrol,2000,110103,3362
VW,Polo,1.0,Petrol,2013,67282,10147
VW,Polo,1.0,Petrol,1997,214991,1078
Ford,Focus,1.8,Diesel,1998,177695,3181
Porsche,Cayenne,3.5,Petrol,1993,15000,15296
Porsche,911,2.6,Petrol,2005,100825,25261
BMW,M5,4.4,Petrol,2017,25352,101052
VW,Passat,1.8,Diesel,1993,173131,2481
VW,Golf,2.0,Petrol,1991,111586,2869
BMW,X3,2.4,Diesel,2010,65455,22395
Porsche,718 Cayman,2.4,Petrol,2022,4624,78086
VW,Polo,2.0,Petrol,2001,205478,2167
VW,Passat,2.0,Diesel,2002,128623,6859
Ford,Fiesta,1.2,Petrol,2012,73872,9695
Toyota,RAV4,2.0,Petrol,2010,85720,17860
VW,Polo,1.2,Petrol,2004,156636,3119
Ford,Mondeo,1.4,Petrol,2004,71373,8976
VW,Polo,1.6,Petrol,2018,25563,23140
Ford,Focus,2.0,Petrol,2016,63834,25333
Ford,Fiesta,1.0,Petrol,2014,38245,12686
VW,Passat,1.6,Diesel,1995,136356,3619
Porsche,911,3.5,Petrol,2001,171925,12761
VW,Golf,1.6,Diesel,2006,94297,8321
Ford,Mondeo,2.0,Diesel,2002,50641,11276
Toyota,Prius,1.8,Hybrid,1997,147331,4550
Ford,Fiesta,1.4,Petrol,2008,25238,10848
Toyota,Yaris,1.2,Hybrid,1988,218765,848
VW,Passat,1.6,Diesel,2005,24637,15184
Ford,Mondeo,1.8,Diesel,2020,13598,44021
VW,Golf,1.2,Petrol,1989,121692,1801
Toyota,Prius,1.8,Hybrid,2002,125567,7552
Toyota,Yaris,1.4,Petrol,1995,107183,3080
VW,Polo,1.6,Petrol,1994,190675,1384
VW,Polo,1.4,Petrol,1995,233428,945
Ford,Fiesta,1.2,Petrol,2007,89054,6253
VW,Passat,1.4,Diesel,1996,155489,3098
VW,Golf,2.0,Petrol,1991,193710,1464
Porsche,911,3.5,Petrol,2002,210972,9708
Toyota,RAV4,2.2,Hybrid,2020,24724,64441
BMW,M5,4.4,Petrol,2018,35856,101678
Ford,Focus,1.0,Petrol,2009,115897,7763
VW,Polo,1.2,Petrol,1990,75272,2273
VW,Polo,1.2,Petrol,1986,294369,272
VW,Passat,2.0,Diesel,1995,194875,2477
Ford,Focus,2.0,Petrol,1995,92604,5128
BMW,M5,5.0,Petrol,1986,191340,4013
BMW,M5,4.4,Petrol,1996,183475,7851
VW,Polo,2.0,Petrol,2012,7746,19099
VW,Polo,2.0,Petrol,1990,30415,3891
Toyota,Yaris,1.0,Hybrid,2004,124964,4971
Ford,Fiesta,1.2,Petrol,2009,72473,8013
Toyota,Yaris,1.4,Petrol,2020,16461,29343
Ford,Focus,1.8,Diesel,2000,66688,8523
Ford,Mondeo,1.4,Hybrid,2012,94408,15642
VW,Golf,1.8,Diesel,1998,228512,1706
VW,Polo,2.0,Diesel,2014,66168,16226
Porsche,Cayenne,3.5,Petrol,1993,224583,3164
Ford,Mondeo,1.8,Diesel,2018,35380,34096
VW,Passat,1.6,Diesel,2008,77823,13304
Toyota,Yaris,1.2,Petrol,2004,9500,9702
BMW,M5,4.4,Petrol,1989,129419,7694
Ford,Mondeo,2.0,Diesel,1986,301347,483
Ford,Mondeo,1.6,Hybrid,2015,4000,35733
Toyota,RAV4,1.8,Hybrid,2010,101693,18128
VW,Passat,1.6,Diesel,2012,55111,20179
Ford,Mondeo,2.0,Diesel,1992,108781,3880
VW,Polo,1.6,Petrol,2012,74361,11451
Ford,Fiesta,1.2,Petrol,2018,46300,17282
VW,Polo,1.4,Petrol,1992,190443,1135
Ford,Focus,2.0,Petrol,1992,231833,1326
Ford,Fiesta,1.0,Petrol,2011,69191,8544
BMW,X3,2.4,Petrol,2018,48704,40463
Toyota,Yaris,1.4,Petrol,2001,122935,4076
Toyota,Prius,1.4,Hybrid,2012,93979,16438
Ford,Mondeo,1.8,Diesel,1993,198686,1882
Ford,Fiesta,1.0,Petrol,2004,132786,3364
Ford,Mondeo,2.0,Diesel,1995,211208,2029
Ford,Focus,1.6,Hybrid,2011,81924,17245
BMW,Z4,2.4,Petrol,2017,39484,38131
VW,Passat,1.6,Diesel,2010,72515,15759
BMW,M5,5.0,Petrol,2017,33166,103008
Ford,Fiesta,1.0,Petrol,1998,101656,2860
VW,Golf,1.4,Hybrid,1997,111578,4298
BMW,Z4,3.0,Petrol,2000,127130,7468
Porsche,718 Cayman,2.0,Petrol,2014,30577,36313
VW,Passat,1.8,Diesel,1995,196182,2323
Porsche,911,3.0,Petrol,2011,75374,48458
Ford,Focus,2.0,Petrol,2006,148469,6951
Toyota,RAV4,2.4,Petrol,1988,199255,1817
Ford,Mondeo,1.6,Diesel,1997,211247,2073
Toyota,Prius,1.8,Hybrid,1986,154940,2053
Toyota,RAV4,2.4,Hybrid,1993,156430,4390
Toyota,Prius,1.0,Hybrid,1998,237489,1655
VW,Passat,1.4,Petrol,1993,226687,1301
Ford,Mondeo,2.0,Diesel,2006,50192,14764
VW,Golf,1.8,Petrol,2002,220298,2284
Ford,Mondeo,2.0,Diesel,2000,188760,3451
Ford,Fiesta,1.4,Petrol,2011,91093,8691
Toyota,RAV4,2.4,Hybrid,2016,41851,46658
Ford,Mondeo,1.8,Diesel,1997,203808,2349
Toyota,RAV4,1.8,Hybrid,1995,215603,2605
Toyota,Prius,1.4,Hybrid,2003,161999,5305
VW,Passat,1.6,Diesel,1998,98005,5922
VW,Polo,1.6,Diesel,2001,133863,3723
VW,Golf,1.8,Petrol,2009,42108,14513
Ford,Fiesta,1.2,Petrol,2016,57344,14113
Ford,Fiesta,1.2,Diesel,1996,265299,713
VW,Passat,1.8,Diesel,1985,147130,1807
BMW,Z4,2.4,Petrol,2005,98786,11548
VW,Passat,1.4,Diesel,1991,186708,1704
BMW,Z4,3.0,Petrol,2019,16354,55568
VW,Golf,1.6,Diesel,2017,49707,23377
BMW,X3,2.4,Petrol,2003,95436,10873
Ford,Fiesta,1.0,Petrol,2015,51060,12541
Toyota,Prius,1.4,Hybrid,2019,31586,39346
Ford,Focus,2.0,Petrol,2013,53995,22095
Ford,Mondeo,2.0,Diesel,2014,52369,24826
Toyota,Prius,1.4,Hybrid,2002,164524,4859
Toyota,Yaris,1.4,Petrol,1998,60153,5221
Ford,Fiesta,1.2,Petrol,2005,129003,4059
Ford,Fiesta,1.4,Petrol,1999,80689,4201
VW,Golf,1.4,Petrol,2015,33923,20046
Toyota,Prius,1.0,Hybrid,2018,48010,28198
Ford,Focus,1.8,Petrol,2018,20244,35719
Toyota,Prius,1.8,Hybrid,2010,112787,14200
VW,Passat,1.4,Diesel,2017,19171,32584
Toyota,RAV4,2.4,Hybrid,1997,120932,7613
Toyota,RAV4,2.4,Hybrid,1986,175805,2339
VW,Passat,1.4,Petrol,1993,245515,1095
VW,Polo,1.4,Petrol,2021,19166,27395
VW,Passat,2.0,Diesel,1993,140922,3414
VW,Golf,1.4,Diesel,1994,180359,1764
Toyota,RAV4,2.0,Hybrid,2009,81919,20589
VW,Passat,1.4,Diesel,2000,160639,3876
Ford,Fiesta,1.2,Petrol,2012,39796,12050
BMW,M5,4.0,Petrol,2018,26070,102575
Toyota,Prius,1.0,Hybrid,2017,58151,24748
Ford,Mondeo,1.4,Diesel,2009,66272,13608
Toyota,RAV4,2.0,Hybrid,2006,78772,17227
Toyota,Yaris,1.2,Petrol,2016,54395,16651
VW,Golf,1.6,Diesel,2004,139257,5170
VW,Golf,1.2,Petrol,1987,321290,266
VW,Polo,1.0,Petrol,1998,132947,2312
Ford,Fiesta,1.2,Petrol,1994,282453,505
BMW,X3,3.0,Diesel,2017,44787,45521
Porsche,Cayenne,3.0,Petrol,1991,260451,1844
Toyota,Yaris,1.4,Petrol,2007,82643,8180
BMW,M5,5.0,Petrol,2013,48360,72017
Ford,Fiesta,1.2,Petrol,2018,33969,18606
Toyota,RAV4,2.2,Hybrid,2016,42163,44587
VW,Golf,1.4,Diesel,2013,53366,16369
Porsche,911,2.2,Petrol,1997,197573,6209
Toyota,Prius,1.4,Hybrid,2004,138453,6874
VW,Polo,1.6,Petrol,2001,180293,2415
VW,Passat,1.4,Diesel,2015,68327,21158
Toyota,RAV4,2.2,Petrol,2014,63014,28524
Porsche,911,3.5,Petrol,2003,61804,33605
Ford,Focus,2.0,Petrol,2020,18372,43465
VW,Passat,1.8,Diesel,2000,231709,2360
VW,Golf,1.8,Petrol,2008,112763,8381
Ford,Mondeo,1.8,Diesel,1998,203586,2516
VW,Polo,1.0,Petrol,2006,59193,6708
Toyota,RAV4,2.2,Hybrid,1986,224321,1461
VW,Polo,1.2,Petrol,2003,125432,3749
Porsche,718 Cayman,2.0,Petrol,2013,59736,28428
Toyota,Prius,1.8,Hybrid,2004,102188,10301
Toyota,RAV4,2.2,Hybrid,2003,133730,9839
Ford,Fiesta,1.4,Petrol,1996,124812,2486
VW,Golf,1.6,Petrol,1992,152057,1994
Ford,Mondeo,1.8,Diesel,2016,50842,27170
Ford,Mondeo,1.4,Diesel,2005,163445,5001
Toyota,Yaris,1.4,Petrol,2008,98372,7818
Toyota,RAV4,2.4,Hybrid,2007,111553,15926
Toyota,Prius,1.4,Hybrid,1998,118214,5399
Ford,Fiesta,1.0,Petrol,1996,142155,1831
Toyota,RAV4,2.4,Hybrid,2021,14878,75945
Porsche,718 Cayman,2.0,Petrol,2007,67676,18092
VW,Golf,1.6,Petrol,2009,78923,10785
Toyota,Yaris,1.0,Hybrid,2001,105966,4702
VW,Golf,1.2,Petrol,2003,188493,2642
Ford,Fiesta,1.4,Petrol,1988,167103,1035
Toyota,Yaris,1.4,Hybrid,1986,221685,781
Ford,Mondeo,1.4,Hybrid,2021,19712,45883
VW,Golf,2.0,Petrol,1989,275622,607
VW,Passat,1.6,Diesel,1993,258679,1088
Ford,Focus,1.0,Petrol,2020,19485,30548
VW,Golf,2.0,Petrol,2020,19101,36364
Ford,Focus,1.4,Petrol,2004,114381,6657
BMW,X3,2.4,Diesel,2022,5063,71030
Ford,Focus,1.8,Diesel,2009,97704,12521
Porsche,718 Cayman,2.4,Petrol,2003,131527,9532
VW,Golf,1.2,Diesel,2004,110949,5579
Ford,Focus,2.0,Petrol,2002,122461,6546
BMW,Z4,3.0,Petrol,2010,101129,17713
Ford,Focus,1.0,Petrol,2006,133622,5538
VW,Passat,1.4,Diesel,2012,38599,20893
VW,Polo,1.4,Petrol,1997,169968,1889
Ford,Focus,1.0,Diesel,1996,202325,1675
VW,Passat,1.4,Diesel,2007,88464,10810
Ford,Fiesta,1.0,Petrol,1999,164726,1858
Ford,Mondeo,1.8,Petrol,2008,95401,11240
BMW,M5,5.0,Petrol,2018,24740,115545
Ford,Fiesta,1.4,Petrol,2016,48685,16098
Toyota,Yaris,1.2,Hybrid,1988,178872,1205
Ford,Mondeo,1.8,Petrol,1987,158182,1699
Porsche,718 Cayman,2.0,Petrol,2010,76670,20799
BMW,M5,4.0,Petrol,2002,119787,18807
VW,Golf,2.0,Diesel,1998,85221,5821
Ford,Fiesta,1.2,Petrol,2016,55959,14238
BMW,Z4,2.4,Petrol,2001,171903,4955
Ford,Fiesta,1.2,Petrol,2002,166014,2459
Ford,Focus,1.0,Diesel,2013,93949,12520
Porsche,Cayenne,2.6,Petrol,2008,67439,26149
VW,Passat,1.8,Diesel,2019,12727,43711
Toyota,Yaris,1.0,Hybrid,2006,99215,6897
Toyota,Prius,1.0,Hybrid,2006,92309,9425
BMW,X3,3.0,Diesel,2016,78661,34177
Ford,Mondeo,1.4,Diesel,2012,67863,16447
VW,Golf,1.4,Diesel,2007,53511,10962
Ford,Focus,1.0,Diesel,1999,118502,4102
VW,Polo,1.4,Petrol,1987,316328,254
VW,Polo,1.4,Petrol,2000,131015,3173
VW,Golf,1.8,Diesel,2013,79698,15599
VW,Golf,1.2,Petrol,2003,123198,4527
Toyota,Yaris,1.4,Petrol,2012,116826,8895
Porsche,911,3.0,Petrol,2009,59076,47240
Ford,Focus,1.8,Petrol,2011,79129,15539
Ford,Mondeo,2.0,Petrol,2018,35763,34151
Toyota,Prius,1.0,Hybrid,2015,44656,23567
VW,Passat,2.0,Petrol,2005,122133,8391
BMW,Z4,2.0,Petrol,1997,96019,6310
VW,Passat,1.8,Diesel,1986,174542,1537
Ford,Fiesta,1.4,Petrol,2018,20231,21726
BMW,Z4,2.0,Petrol,1989,100634,3579
VW,Passat,1.4,Petrol,1995,195228,1967
VW,Polo,2.0,Petrol,1991,221003,968
Ford,Focus,2.0,Petrol,2007,92700,11405
BMW,X3,2.4,Diesel,2008,50975,21507
VW,Polo,1.2,Petrol,2003,143978,3236
VW,Golf,1.6,Petrol,1996,170890,2225
VW,Passat,1.4,Diesel,2007,108446,9347
Toyota,Prius,1.8,Hybrid,2009,63768,18782
VW,Golf,1.6,Petrol,2015,58040,18486
VW,Polo,1.6,Petrol,2007,107625,6473
VW,Passat,1.8,Petrol,2005,127673,7625
Toyota,RAV4,2.0,Hybrid,1998,170237,4983
BMW,Z4,2.2,Petrol,1996,131881,4719
VW,Passat,1.8,Diesel,2007,146611,7866
Toyota,Yaris,1.0,Petrol,1993,123348,2014
Ford,Fiesta,1.0,Petrol,2011,89621,7423
Toyota,Prius,1.0,Hybrid,1993,141139,2731
VW,Polo,1.0,Petrol,1993,222606,771
Ford,Mondeo,1.6,Petrol,2007,82309,10877
BMW,Z4,2.4,Petrol,2022,6668,63896
VW,Golf,1.8,Petrol,1998,143241,3390
Toyota,Yaris,1.0,Hybrid,2012,54872,13928
Toyota,Yaris,1.2,Hybrid,2014,32583,19962
VW,Polo,2.0,Petrol,1992,202095,1225
Toyota,Prius,1.8,Hybrid,2004,137432,7859
BMW,M5,4.4,Petrol,1999,161878,11519
VW,Polo,2.0,Petrol,2002,130406,4355
VW,Golf,1.2,Diesel,1996,83474,3994
Ford,Fiesta,1.0,Petrol,1993,205996,872
Toyota,Prius,1.8,Hybrid,2005,95779,11538
VW,Passat,1.4,Diesel,2013,57648,19853
BMW,Z4,2.2,Petrol,2011,72398,19849
Toyota,Prius,1.8,Hybrid,2000,107862,7565
Toyota,Prius,1.0,Hybrid,2000,140491,4378
Porsche,911,3.5,Petrol,1996,108289,15220
Ford,Focus,1.4,Diesel,2002,91234,7255
Ford,Mondeo,1.6,Diesel,2004,162124,5057
Toyota,RAV4,2.0,Hybrid,2010,32617,30155
Ford,Fiesta,1.2,Petrol,2015,34439,15192
Porsche,Cayenne,4.0,Petrol,2009,108834,25878
BMW,X3,3.0,Petrol,1994,145804,4530
Toyota,Prius,1.4,Hybrid,2012,72508,19091
Toyota,Yaris,1.2,Petrol,2010,61336,10676
BMW,Z4,2.0,Petrol,2002,73672,10297
VW,Golf,2.0,Diesel,1999,172024,3160
Toyota,Prius,1.8,Hybrid,1985,80054,3398
Ford,Focus,1.8,Diesel,2008,59936,15183
Ford,Focus,2.0,Diesel,2005,120861,8500
Ford,Focus,1.8,Petrol,2010,66900,15788
VW,Passat,1.8,Diesel,1998,15237,10635
VW,Golf,1.2,Petrol,2021,10315,31563
Ford,Fiesta,1.0,Petrol,2012,50290,10317
VW,Passat,1.4,Diesel,1997,190173,2467
Ford,Focus,1.0,Petrol,2013,44697,16552
Ford,Focus,1.4,Petrol,1996,313731,672
Ford,Fiesta,1.0,Petrol,1999,241136,947
VW,Polo,1.2,Petrol,2001,77072,4676
Toyota,Yaris,1.0,Hybrid,1999,59061,5700
Porsche,911,3.0,Petrol,1995,76785,16517
Ford,Mondeo,1.4,Diesel,2019,36154,31996
Porsche,Cayenne,4.0,Petrol,2022,5962,118543
Toyota,RAV4,2.4,Hybrid,2002,101554,12292
Toyota,Prius,1.0,Hybrid,2014,49400,21412
VW,Polo,1.4,Petrol,2014,79849,11789
BMW,M5,5.0,Petrol,1989,208522,4214
VW,Polo,1.4,Petrol,1997,158028,2088
Toyota,RAV4,1.8,Hybrid,1996,190694,3470
Porsche,718 Cayman,2.0,Petrol,2003,143320,7919
Ford,Fiesta,1.2,Petrol,1993,287183,452
BMW,M5,5.0,Petrol,2003,138777,19366
Toyota,Yaris,1.2,Petrol,2004,112404,4996
Porsche,718 Cayman,2.4,Petrol,2005,94370,14419
VW,Golf,1.6,Diesel,1996,279453,878
VW,Polo,1.4,Petrol,2016,45283,16871
BMW,M5,5.0,Petrol,1989,170270,5875
Toyota,RAV4,2.4,Hybrid,2007,37670,26255
Ford,Mondeo,1.6,Diesel,2012,65505,17859
Ford,Focus,1.8,Petrol,2006,124447,7984
Ford,Focus,1.4,Petrol,2006,105952,8104
Toyota,RAV4,1.8,Hybrid,1997,153031,5105
Toyota,Yaris,1.4,Petrol,1986,176136,971
VW,Polo,1.6,Diesel,2000,119648,3891
Toyota,RAV4,2.0,Hybrid,1988,327541,604
Toyota,RAV4,1.8,Petrol,2014,54043,27332
VW,Golf,2.0,Petrol,2021,10376,40735
Porsche,718 Cayman,4.0,Petrol,1992,222039,2735
VW,Passat,1.6,Diesel,1994,257253,1179
VW,Golf,1.8,Diesel,2005,112716,7207
VW,Polo,1.6,Diesel,2015,35687,18766
VW,Polo,2.0,Petrol,1990,293643,461
VW,Passat,1.4,Petrol,2015,54426,22053
BMW,Z4,2.2,Petrol,2015,87514,23349
VW,Polo,1.2,Petrol,2011,53663,10624
Ford,Mondeo,1.6,Diesel,1995,204387,1928
Ford,Mondeo,1.8,Petrol,1991,217958,1322
BMW,X3,2.0,Diesel,2018,30685,43196
Ford,Focus,1.8,Diesel,2015,39748,27452
VW,Polo,1.0,Petrol,2019,30168,19049
VW,Passat,2.0,Diesel,2016,51044,30220
Ford,Mondeo,2.0,Diesel,1996,272040,1241
Toyota,Prius,1.8,Hybrid,2011,36911,25370
Ford,Fiesta,1.2,Petrol,1992,287457,422
Porsche,718 Cayman,2.0,Petrol,1992,220261,1965
Ford,Mondeo,2.0,Diesel,2010,65544,17470
Ford,Focus,1.6,Petrol,2016,31889,27596
Ford,Mondeo,1.6,Diesel,2014,54644,21889
Porsche,911,2.2,Petrol,2000,160971,10378
Ford,Focus,1.0,Hybrid,1993,162550,2207
Toyota,RAV4,2.2,Hybrid,2020,16533,67418
VW,Polo,2.0,Petrol,2002,100014,5486
Toyota,Prius,1.4,Hybrid,1996,116321,4794
Toyota,Yaris,1.4,Hybrid,1993,73872,4100
VW,Polo,1.6,Petrol,1994,159253,1809
VW,Polo,2.0,Diesel,1986,221104,728
Ford,Mondeo,2.0,Diesel,2009,92331,13594
Ford,Fiesta,1.4,Petrol,2013,56407,12555
Ford,Mondeo,1.4,Diesel,1998,173120,2890
VW,Passat,2.0,Petrol,1995,107300,4821
BMW,M5,5.0,Petrol,1994,81129,16366
Toyota,RAV4,2.0,Petrol,2012,67101,23171
Porsche,Cayenne,2.6,Petrol,2020,23069,76312
Ford,Focus,1.4,Petrol,1990,187363,1442
Ford,Focus,1.8,Petrol,2011,47117,19149
VW,Passat,2.0,Diesel,2014,44765,27493
Toyota,RAV4,1.8,Petrol,2019,24243,45564
BMW,X3,2.0,Diesel,1994,192248,2625
Toyota,RAV4,2.4,Petrol,2017,22633,46461
Toyota,Prius,1.4,Hybrid,2021,16448,48934
Toyota,RAV4,2.0,Hybrid,1990,247929,1466
VW,Passat,1.6,Diesel,2020,19656,42433
Toyota,RAV4,2.2,Hybrid,1996,174589,4408
Ford,Focus,1.6,Diesel,1998,125697,4592
